facility_name,facility_type,location,contact,latitude,longitude
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78946,-122.40057
CVS,Drug Store,"351 California St, San Francisco, CA 94104",+1 415-243-0273,37.79284,-122.40073
CVS,Drug Store,"400 Sutter St, San Francisco, CA 94108",+1 415-398-2175,37.79284,-122.40727
CVS,Drug Store,"3600 Geary Blvd, San Francisco, CA 94118",+1 415-668-6083,37.7815,-122.45804
CVS,Drug Store,"701 Portola Dr, San Francisco, CA 94127",+1 415-504-6043,37.74424,-122.45325
CVS,Drug Store,"1101 Market St, San Francisco, CA 94103",+1 415-558-1538,37.7802,-122.41246
CVS,Drug Store,"1059 Hyde St, San Francisco, CA 94109",+1 415-346-6100,37.79059,-122.41773
CVS,Drug Store,"2025 Van Ness Ave, San Francisco, CA 94109",+1 415-353-5705,37.79424,-122.42352
CVS,Drug Store,"1900 19th Ave, San Francisco, CA 94116",+1 415-664-1834,37.75223,-122.4761
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78679,-122.4041
CVS,Drug Store,"799 Beach St, San Francisco, CA 94109",+1 415 561-0984,37.806348,-122.421885
CVS,Drug Store,"581 Market St, San Francisco, CA 94105",+1 415 777-1654,37.790985,-122.400637
CVS,Drug Store,"1 Jefferson St, San Francisco, CA 94133",+1 415 291-0268,37.808532,-122.412724
CVS,Drug Store,"601 Mission St, San Francisco, CA 94105",+1 415 442-4737,37.790846,-122.399718
CVS,Drug Store,"500 Pine St, San Francisco, CA 94108",+1 415 362-6318,37.79252,-122.40439
CVS,Drug Store,"377 32nd Ave, San Francisco, CA 94121",+1 415 666-3153,37.782133,-122.492882
CVS,Drug Store,"499 Haight St, San Francisco, CA 94117",+1 415 503-0722,37.773419,-122.43047
CVS,Drug Store,"225 Bush St #100, San Francisco, CA 94104",+1 415 365-0835,37.791337,-122.401064
CVS,Drug Store,"2675 Geary Blvd, San Francisco, CA 94118",+1 415 796-5281,37.782069,-122.446868
CVS,Drug Store,"789 Mission St, San Francisco, CA 94103",+1 415 343-6273,37.787436,-122.404072
CVS,Drug Store,"1830 Ocean Ave, San Francisco, CA 94112",+1 415 840-0524,37.732057,-122.459392
CVS,Drug Store,"233 Winston Dr, San Francisco, CA 94132",+1 415 664-1436,37.733686,-122.477931
CVS,Drug Store,"445 Castro St, San Francisco, CA 94114",+1 415 864-7030,37.767348,-122.435359
CVS,Drug Store,"595 Market St, San Francisco, CA 94105",NA,37.791905,-122.400683
CVS,Drug Store,"701 Van Ness Ave, San Francisco, CA 94102",+1 415 848-1088,37.783399,-122.420988
CVS,Drug Store,"399 Geary St, San Francisco, CA 94102",+1 415 268-9949,37.792855,-122.409266
CVS,Drug Store,"1690 Folsom St, San Francisco, CA 94103",+1 415 696-7715,37.776846,-122.415103
Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",+1 415-391-7222,37.78604,-122.40811
Walgreens,Drug Store,"670 4th St, San Francisco, CA 94107",+1 415-856-0543,37.7771,-122.39529
Walgreens,Drug Store,"2120 Polk St, San Francisco, CA 94109",+1 415-474-9752,37.79638,-122.42164
Walgreens,Drug Store,"456 Mission St, San Francisco, CA 94105",+1 415-348-9600,37.78999,-122.39759
Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",+1 415-981-6274,37.79819,-122.40854
Walgreens,Drug Store,"300 Montgomery St, San Francisco, CA 94104",+1 415-788-2984,37.79209,-122.40249
Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",+1 415-856-0733,37.79252,-122.39441
Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",+1 415-543-9502,37.78513,-122.40626
Walgreens,Drug Store,"275 Sacramento St, San Francisco, CA 94111",+1 415-362-5227,37.79423,-122.39883
Walgreens,Drug Store,"141 Kearny St, San Francisco, CA 94108",+1 415 834-0356,37.791868,-122.40467
Walgreens,Drug Store,"790 Van Ness Ave, San Francisco, CA 94102",+1 415 292-6155,37.785763,-122.421235
Walgreens,Drug Store,"1496 Market St, San Francisco, CA 94102",+1 415 626-9972,37.778844,-122.419862
Walgreens,Drug Store,"459 Powell St, San Francisco, CA 94102",+1 415 984-0793,37.794039,-122.40836
Walgreens,Drug Store,"1899 Fillmore St, San Francisco, CA 94115",+1 415 771-4603,37.789698,-122.434453
Walgreens,Drug Store,"1301 Market St, San Francisco, CA 94103",+1 415 861-4010,37.779794,-122.416772
Walgreens,Drug Store,"1175 Columbus Ave, San Francisco, CA 94133",+1 415 345-1079,37.806517,-122.416944
Walgreens,Drug Store,"1300 Bush St, San Francisco, CA 94109",+1 415 771-3303,37.793632,-122.419175
Walgreens,Drug Store,"2145 Market St, San Francisco, CA 94114",+1 415 355-0800,37.770296,-122.429646
Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",+1 415 668-5250,37.786439,-122.466577
Walgreens,Drug Store,"3400 Cesar Chavez, San Francisco, CA 94110",+1 415 285-0802,37.751975,-122.418317
Walgreens,Drug Store,"1301 Franklin St, San Francisco, CA 94109",+1 415 775-6706,37.789019,-122.423295
Walgreens,Drug Store,"1363 Divisadero St, San Francisco, CA 94115",+1 415 931-9974,37.784,-122.43926
Walgreens,Drug Store,"500 Geary St, San Francisco, CA 94102",+1 415 673-8413,37.79024,-122.412137
Walgreens,Drug Store,"2494 San Bruno Ave, San Francisco, CA 94134",+1 415 468-4274,37.733378,-122.404756
Walgreens,Drug Store,"300 Gough St, San Francisco, CA 94102",+1 415 581-0600,37.776402,-122.422608
Walgreens,Drug Store,"3398 Mission St, San Francisco, CA 94110",+1 415 824-6886,37.743467,-122.422049
Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",+1 415 647-1397,37.754093,-122.406255
Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",+1 415 285-1576,37.754508,-122.418844
Walgreens,Drug Store,"1524 Polk St, San Francisco, CA 94109",+1 415 673-4701,37.791493,-122.420466
Walgreens,Drug Store,"3601 California St, San Francisco, CA 94118",+1 415 668-5202,37.786892,-122.453463
Walgreens,Drug Store,"2141 Chestnut St, San Francisco, CA 94123",+1 415 567-9320,37.801135,-122.438528
Walgreens,Drug Store,"3201 Divisadero St, San Francisco, CA 94123",+1 415 931-6417,37.800186,-122.44282
Walgreens,Drug Store,"5300 3rd St, San Francisco, CA 94124",+1 415 671-0841,37.729421,-122.393069
Walgreens,Drug Store,"1750 Noriega St, San Francisco, CA 94122",+1 415 664-5543,37.754911,-122.48268
Walgreens,Drug Store,"200 W Portal Ave, San Francisco, CA 94127",+1 415 665-1008,37.73953,-122.468397
Walgreens,Drug Store,"1630 Ocean Ave, San Francisco, CA 94112",+1 415 239-0804,37.725411,-122.459643
Walgreens,Drug Store,"4645 Mission St, San Francisco, CA 94112",+1 415 585-6900,37.724461,-122.434923
Walgreens,Drug Store,"88 Spear St, San Francisco, CA 94105",+1 415 856-0733,37.793202,-122.39424
Walgreens,Drug Store,"1333 Castro St, San Francisco, CA 9411",+1 415 826-8533,37.75134,-122.433893
Walgreens,Drug Store,"5260 Diamond Heights Blvd, San Francisco, CA 94131",+1 415 695-2808,37.744417,-122.439558
Walgreens,Drug Store,"199 Parnassus Ave, San Francisco, CA 94117",+1 415 661-5287,37.765318,-122.452261
Walgreens,Drug Store,"25 Point Lobos Ave, San Francisco, CA 94121",+1 415 386-0736,37.779977,-122.503213
Walgreens,Drug Store,"3001 Taraval St, San Francisco, CA 94116",+1 415 759-0572,37.742472,-122.498324
Walgreens,Drug Store,"1201 Taraval St, San Francisco, CA 94116",+1 415 753-1305,37.743504,-122.47917
Walgreens,Drug Store,"965 Geneva Ave, San Francisco, CA 94112",+1 415 841-0507,37.716511,-122.439889
Walgreens,Drug Store,"2100 Webster St Ste 105, San Francisco, CA 94115",+1 415 441-5742,37.791566,-122.432165
Walgreens,Drug Store,"2550 Ocean Ave, San Francisco, CA 94132",+1 415 587-9000,37.732257,-122.472742
Walgreens,Drug Store,"550 16th St rm 1200, San Francisco, CA 94158",+1 415 365-0512,37.767812,-122.390364
Walgreens,Drug Store,"500 Parnassus Ave J, San Francisco, CA 94143",+1 415 681-3394,37.76443,-122.4586
Walgreens,Drug Store,"135 Powell St, San Francisco, CA 94102",+1 415 391-7222,37.786954,-122.408132
Walgreens,Drug Store,"45 Castro St, San Francisco, CA 94114",+1 415 565-0991,37.769451,-122.435426
Walgreens,Drug Store,"1344 Stockton St, San Francisco, CA 94133",+1 415 981-6274,37.799027,-122.408475
Walgreens,Drug Store,"5280 Geary Blvd, San Francisco, CA 94118",+1 415 668-2041,37.781807,-122.476196
Walgreens,Drug Store,"2690 Mission St, San Francisco, CA 94110",+1 415 285-1576,37.755066,-122.419118
Walgreens,Drug Store,"1189 Potrero Ave, San Francisco, CA 94110",+1 415 647-1397,37.75398,-122.405729
Walgreens,Drug Store,"745 Clement St, San Francisco, CA 94118",+1 415 668-5250,37.78345,-122.467599
Walgreens,Drug Store,"2050 Irving St, San Francisco, CA 94122",+1 415 664-4215,37.764239,-122.479894
Walgreens,Drug Store,"825 Market St, San Francisco, CA 94103",+1 415 543-9502,37.786087,-122.406438
Walgreens,Drug Store,"33 Drumm St, San Francisco, CA 94111",+1 415 989-6116,37.794691,-122.39652
Walgreens,Drug Store,"2262 Market St, San Francisco, CA 94114",+1 415 255-0101,37.76725,-122.431674
Walgreens,Drug Store,"498 Castro St, San Francisco, CA 94114",+1 415 861-3136,37.761142,-122.435285
California Pacific Med Ctr-davies Campus,General Acute Care Hospital,"45 Castro St, San Francisco, CA 94114",,37.76905419,-122.4358177
On Lok Senior Health Services-mission Center,Community Clinic,"1333 Bush St, San Francisco, CA 94109",,37.72674014,-122.4332937
"Drug Detoxification, Rehab And After Care Svs. Prog.",Free Clinic,"601 Steiner St #2509, San Francisco, CA 94117",,37.77029461,-122.448703
St. Anthony Medical Clinic,Free Clinic,"150 Golden Gate Ave 2nd floor, San Francisco, CA 94102",,37.78197735,-122.4131723
Special Programs For Youth,Community Health Network,"375 Woodside Ave, San Francisco, CA 94127",,37.74571703,-122.4522671
Mission Neighborhood Health Ctr.-excelsior Clinic,Community Clinic,"4434 Mission St, San Francisco, CA 94112",,37.72668158,-122.4333768
California Pacific Med Ctr-california West,General Acute Care Hospital,"3700 California St b555, San Francisco, CA 94118",,37.78614406,-122.4559117
Laguna Honda Hospital And Rehabilitation Center,General Acute Care Hospital,"375 Laguna Honda Blvd, San Francisco, CA 94116",,37.74762573,-122.4587178
St. James Infirmary,Community Clinic,"730 Polk St 4th floor, San Francisco, CA 94109",,37.77561778,-122.4155768
Baart Turk Street Clinic,Community Clinic,"433 Turk St, San Francisco, CA 94102",,37.78246323,-122.4163466
Tom Waddell Health Center,Community Health Network,"230 Golden Gate Ave, San Francisco, CA 94102",,37.77797841,-122.4185394
North East Medical Services-taraval,Community Health Network,"2308 Taraval St, San Francisco, CA 94116",,37.74240843,-122.4910405
On Lok Senior Health Services,Community Clinic,"1000 Montgomery St, San Francisco, CA 94133",,37.79846727,-122.4038559
Housing And Urban Health Clinic,Community Health Network,"234 Eddy St, San Francisco, CA 94102",,37.78413785,-122.4115425
Potrero Hill Health Center,Community Health Network,"1050 Wisconsin St, San Francisco, CA 94107",,37.75427069,-122.3987353
South Of Market Health Center,Community Clinic,"229 7th St, San Francisco, CA 94103",,37.77766069,-122.4088864
Family Health Center At Sfgh,Community Health Network,"995 Potrero Ave, San Francisco, CA 94110",,37.75690321,-122.4066315
Institute On Aging,Community Clinic,"3575 Geary Blvd, San Francisco, CA 94118",,37.78246781,-122.4483432
Women's Health Center,Community Health Network,"3698 California St, San Francisco, CA 94118",,37.75617447,-122.4065947
Lyon-martin Womens Health Services,Community Clinic,"1735 Mission St, San Francisco, CA 94103",,37.77240194,-122.4228124
Castro-mission Health Center,Community Health Network,"3850 17th St, San Francisco, CA 94114",,37.76271772,-122.4318407
Chinese Hospital,General Acute Care Hospital,"845 Jackson St, San Francisco, CA 94133",,37.79566209,-122.4091723
San Francisco Free Clinic,Free Clinic,"4900 California St, San Francisco, CA 94118",,37.78458778,-122.4700906
North East Medical Services - San Bruno Avenue,Community Clinic,"2574 San Bruno Ave, San Francisco, CA 94134",,37.72908815,-122.4042605
Mission Neighborhood Health Centers-lpc,Community Health Network,"240 Shotwell St #1323, San Francisco, CA 94110",,37.77125833,-122.4194887
Native American Health Center,Community Clinic,"1089 Mission St, San Francisco, CA 94103",,37.76411733,-122.4186651
Mission Neighborhood Health Center - Valencia Clinic,Community Clinic,"240 Shotwell St #1323, San Francisco, CA 94110",,37.74700015,-122.4200801
Larkin Street Medical Clinic,Community Health Network,"134 Golden Gate Ave, San Francisco, CA 94102",,37.78794224,-122.4191218
Children's Health Center At Sfgh,Community Health Network,"1001 Potrero Ave, San Francisco, CA 94110",,37.75577951,-122.4061957
Planned Parenthood Golden Gate,Community Clinic,"1650 Valencia St, San Francisco, CA 94110",,37.78276346,-122.4215457
3rd Street Youth Center & Clinic,Community Health Network,"1728 Bancroft Ave, San Francisco, CA 94124",,37.73086205,-122.3922007
General Medical Clinic At Sfgh,Community Health Network,"1001 Potrero Ave, San Francisco, CA 94110",,37.75577951,-122.4061957
Mission Neighborhood Resource Center,Community Clinic,"165 Capp St, San Francisco, CA 94110",,37.7640344,-122.4185547
Glide Health Services,Community Clinic,"330 Ellis St, San Francisco, CA 94102",,37.78509497,-122.4116495
Curry Senior Center,Community Clinic,"333 Turk St, San Francisco, CA 94102",,37.78267054,-122.4145816
Lifeways Pace At The Coronet,Community Clinic,"3575 Geary Blvd, San Francisco, CA 94118",,37.78123364,-122.4576676
Haight Ashbury Integrated Care Center,Community Clinic,"558 Clayton St, San Francisco, CA 94117",,37.7694838,-122.419917
San Francisco City Clinic,Community Health Network,"356 7th St, San Francisco, CA 94103",,37.7760443,-122.4070294
Ahf Healthcare Center - San Francisco,Community Clinic,"518A Castro St, San Francisco, CA 94114",,37.77918701,-122.4077911
Ucsf Medical Center At Mount Zion,General Acute Care Hospital,"1600 Divisadero St, San Francisco, CA 94115",,37.78477686,-122.4397258
Silver Avenue Family Health Center,Community Health Network,"1525 Silver Ave, San Francisco, CA 94134",,37.73222744,-122.4065175
Haight Ashbury Free Medical Clinic,Free Clinic,"558 Clayton St, San Francisco, CA 94117",,37.77019155,-122.4485804
Ocean Park Health Center,Community Health Network,"1351 24th Ave, San Francisco, CA 94122",,37.76238083,-122.482495
Chinese Hospital's Excelsior Health Services,Community Clinic,"888 Paris St, San Francisco, CA 94112",,37.71582646,-122.439401
Chinese Community Health Services,Community Clinic,"445 Grant Ave, San Francisco, CA 94108",,37.75341278,-122.4892746
North East Medical Services-leland Avenue,Community Clinic,"82 Leland Ave, San Francisco, CA 94134",,37.71182702,-122.4052494
Asian & Pacific Islander Wellness Center,Community Clinic,"730 Polk St, San Francisco, CA 94109",,37.78358665,-122.4191904
Mission Neighborhood Health Center,Community Clinic,"240 Shotwell St #1323, San Francisco, CA 94110",,37.76472768,-122.4163534
San Francisco General Hospital,General Acute Care Hospital,"1001 Potrero Ave, San Francisco, CA 94110",,37.75606363,-122.4077197
Southeast Health Center,Community Health Network,"2401 Keith St, San Francisco, CA 94124",,37.72591049,-122.3924666
Adult Immunization & Travel Clinic,Community Health Network,"101 Grove St, San Francisco, CA 94102",,37.77838372,-122.4186957
North East Medical Services,Community Clinic,"1520 Stockton St, San Francisco, CA 94133",,37.79989739,-122.4090252
Planned Parenthood San Francisco Center,Community Clinic,"1650 Valencia St, San Francisco, CA 94110",,37.74611894,-122.4201236
Kaiser Fnd Hosp - San Francisco,General Acute Care Hospital,"2425 Geary Blvd, San Francisco, CA 94115",,37.78268324,-122.4437068
Woman's Community Clinic/tides Center,Community Clinic,"1735 Mission St, San Francisco, CA 94103",,37.7865244,-122.433383
On Lok Senior Health Services - Powell,Community Clinic,"1441 Powell St, San Francisco, CA 94133",,37.79788399,-122.4103728
On Lok 30th Street Community Center,Community Clinic,"225 30th St 3rd floor, San Francisco, CA 94131",,37.74215288,-122.4251083
St. Francis Memorial Hospital,General Acute Care Hospital,"900 Hyde St, San Francisco, CA 94109",,37.78956798,-122.4170662
Chinatown Health Center,Community Health Network,"1490 Mason St, San Francisco, CA 94133",,37.79693062,-122.4117722
"St. Mary's Medical Center, San Francisco",General Acute Care Hospital,"450 Stanyan St, San Francisco, CA 94117",,37.77380449,-122.4544068
Maxine Hall Health Center,Community Health Network,"1301 Pierce St, San Francisco, CA 94115",,37.781938,-122.435869
California Pacific Med Ctr-california East,General Acute Care Hospital,"3773 Sacramento St, San Francisco, CA 94118",,37.78740232,-122.4535495
Instituto Familiar De La Raza - Outpatient,Community Clinic,"2919 Mission St, San Francisco, CA 94110",,37.75034371,-122.4181955
Baart Market Clinic,Community Clinic,"1111 Market St 1st Floor, San Francisco, CA 94103",,37.7802172,-122.4127907
Balboa Teen Health Center,Community Health Network,"1000 Cayuga Ave # 156, San Francisco, CA 94112",,37.72207048,-122.4398288
St. Luke's Health Care Center - Pediatric Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",,37.7475674,-122.4202335
California Pacific Med Ctr-pacific Campus,General Acute Care Hospital,"2333 Buchanan St, San Francisco, CA 94115",,37.79142444,-122.4310376
Ucsf Medical Center,General Acute Care Hospital,"505 Parnassus Ave, San Francisco, CA 94143",,37.76336734,-122.4585674
California Pacific Medical Center - St. Luke's Campus,General Acute Care Hospital,"3555 Cesar Chavez, San Francisco, CA 94110",,37.74804296,-122.4212489
St. Luke's Health Care Center - Adult Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",,37.7475674,-122.4202335
North East Medical Services - Noriega,Community Clinic,"1450 Noriega St, San Francisco, CA 94122",,37.75412784,-122.4794002
On Lok Senior Health Services - Bush St,Community Clinic,"1000 Montgomery St, San Francisco, CA 94133",,37.78882313,-122.4190464
St. Luke's Health Care Center - Women's Clinic,Community Clinic,"1580 Valencia St #506, San Francisco, CA 94110",,37.7475674,-122.4202335
Richmond Maxi-center,Community Clinic,"3626 Balboa St, San Francisco, CA 94121",,37.77575714,-122.4976142
Cole Street Clinic,Community Health Network,"555 Cole St, San Francisco, CA 94117",,7.76999193,-122.450374
